               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP50,metrics/mAP50-95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,F1_score
0,0.094102,0.05953,0.024276,0.36414,0.55583,0.35391,0.10654,0.074486,0.045707,0.023763,0.07019,0.0033122,0.0033122,0.44001421
1,0.068057,0.055866,0.01208,0.41054,0.73231,0.64592,0.29236,0.059253,0.046046,0.01706,0.040058,0.006514,0.006514,0.526127746
2,0.062106,0.054132,0.0068474,0.41281,0.68815,0.57385,0.25648,0.049693,0.043212,0.02102,0.0097947,0.0095837,0.0095837,0.516049995
3,0.054844,0.051811,0.0053797,0.63153,0.78635,0.74167,0.40908,0.048186,0.041627,0.0097149,0.009406,0.009406,0.009406,0.70048751
4,0.048356,0.052075,0.0043533,0.5912,0.72026,0.75608,0.39886,0.042428,0.040519,0.02561,0.009406,0.009406,0.009406,0.649379641
5,0.045345,0.051193,0.0037694,0.69592,0.73942,0.79062,0.46839,0.037552,0.04011,0.015004,0.009208,0.009208,0.009208,0.717010836
6,0.043054,0.050276,0.0030156,0.79043,0.82897,0.84255,0.54398,0.034826,0.037536,0.0046799,0.00901,0.00901,0.00901,0.809241394
7,0.040998,0.048633,0.0024268,0.60656,0.55976,0.65272,0.39427,0.038531,0.042063,0.037268,0.008812,0.008812,0.008812,0.582221047
8,0.039515,0.048828,0.0020994,0.64176,0.51418,0.56707,0.33581,0.04013,0.044545,0.039187,0.008614,0.008614,0.008614,0.570929558
9,0.038346,0.047504,0.0019782,0.75704,0.84637,0.85178,0.57618,0.032956,0.035637,0.0023931,0.008416,0.008416,0.008416,0.799216601
10,0.037008,0.047598,0.0017745,0.76484,0.81292,0.83384,0.56087,0.03306,0.036372,0.0048507,0.008218,0.008218,0.008218,0.788147415
11,0.036744,0.047475,0.0016753,0.69825,0.75581,0.8037,0.53001,0.033368,0.036851,0.021955,0.00802,0.00802,0.00802,0.725890723
12,0.035981,0.046745,0.0016987,0.7958,0.84829,0.86746,0.57715,0.030954,0.035001,0.0016458,0.007822,0.007822,0.007822,0.82120709
13,0.034838,0.046898,0.0013702,0.76261,0.81967,0.85589,0.57572,0.029329,0.035393,0.010066,0.007624,0.007624,0.007624,0.790111154
14,0.034443,0.046065,0.0013642,0.7713,0.83113,0.85881,0.59598,0.029581,0.035469,0.010302,0.007426,0.007426,0.007426,0.800098062
