                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4442,                 2.1679,                 1.3788,                0.48804,                0.55914,                0.49349,                0.29002,                 1.3812,                 1.7443,                 1.3997,             0.00047332,             0.00047332,             0.00047332
                      2,                 1.3299,                 1.6294,                 1.3211,                0.52242,                0.55207,                0.52253,                0.30975,                 1.3773,                 1.7989,                 1.4168,             0.00093085,             0.00093085,             0.00093085
                      3,                 1.3329,                 1.5798,                 1.3215,                0.50353,                0.57865,                0.49387,                0.29504,                 1.4593,                 2.0704,                 1.4867,              0.0013695,              0.0013695,              0.0013695
                      4,                 1.2987,                 1.4867,                 1.3025,                0.51861,                0.60225,                0.60395,                0.36127,                 1.2955,                 1.5103,                 1.3327,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.2641,                  1.446,                 1.2883,                0.55313,                0.64445,                0.60543,                0.37622,                 1.2683,                 1.4906,                 1.3102,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.2498,                 1.4224,                 1.2868,                0.59062,                0.67094,                0.64031,                0.39639,                 1.2305,                 1.3915,                 1.2611,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.2168,                 1.3736,                 1.2546,                0.53747,                0.52242,                0.52144,                0.31646,                 1.4111,                 2.1224,                 1.4129,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.1896,                 1.3298,                 1.2332,                0.46143,                0.63802,                0.57415,                0.36768,                 1.2627,                 1.5816,                 1.2655,              0.0012309,              0.0012309,              0.0012309
                      9,                  1.192,                 1.3332,                  1.245,                0.58945,                0.66897,                0.66058,                0.42185,                 1.1817,                 1.3855,                 1.2328,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.1621,                 1.3072,                 1.2337,                0.62253,                0.66811,                 0.6784,                0.43125,                 1.1549,                  1.299,                 1.2458,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.1808,                 1.3131,                 1.2472,                0.59893,                0.64844,                 0.6649,                0.43663,                 1.1486,                  1.433,                  1.198,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.1407,                 1.2701,                 1.2122,                 0.6614,                0.66371,                0.70235,                0.45812,                 1.0948,                 1.2605,                 1.1903,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.1451,                 1.2691,                 1.2249,                0.53839,                0.63019,                0.62518,                0.40829,                  1.195,                  1.653,                 1.2287,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.1377,                 1.2531,                 1.2166,                0.65113,                0.67359,                0.68665,                0.43823,                 1.1201,                 1.2791,                 1.2162,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.1266,                 1.2342,                 1.2087,                0.59327,                0.70995,                 0.6874,                0.44527,                 1.0776,                 1.2511,                 1.1725,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.1087,                 1.2172,                 1.1998,                0.59398,                0.69184,                0.70197,                0.46338,                 1.0749,                 1.2342,                 1.1731,              0.0010046,              0.0010046,              0.0010046
                     17,                  1.112,                 1.2148,                 1.2088,                0.55192,                0.69927,                0.67806,                0.45201,                 1.0667,                 1.2534,                 1.1836,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.1007,                 1.2091,                 1.1925,                 0.5701,                0.70754,                0.68199,                0.45065,                  1.063,                 1.2435,                 1.1559,               0.000948,               0.000948,               0.000948
                     19,                 1.1093,                   1.21,                 1.2026,                 0.6002,                0.70924,                0.70576,                0.46962,                 1.0765,                 1.2523,                 1.1786,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.0912,                 1.1944,                 1.1958,                0.58092,                0.72898,                0.71575,                0.47377,                  1.032,                 1.2279,                  1.165,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.0825,                 1.1835,                 1.1992,                0.65112,                0.73009,                0.74214,                0.49161,                 1.0666,                  1.145,                  1.152,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.0807,                 1.1834,                 1.1984,                0.63029,                0.72898,                 0.7385,                0.49719,                 1.0278,                 1.1485,                 1.1484,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.0776,                 1.1706,                 1.1928,                0.65151,                0.71426,                0.73418,                0.49506,                 1.0235,                 1.1364,                 1.1518,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.0738,                 1.1638,                  1.184,                0.66338,                0.71161,                0.72216,                0.48201,                 1.0358,                 1.1699,                 1.1614,             0.00077823,             0.00077823,             0.00077823
                     25,                  1.053,                 1.1607,                 1.1744,                0.62405,                0.72582,                0.72339,                0.49288,                 1.0123,                 1.1226,                 1.1325,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.0615,                 1.1577,                  1.178,                0.61468,                0.75614,                0.72968,                0.49787,                0.99421,                 1.1261,                 1.1242,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.0514,                 1.1437,                 1.1763,                0.62899,                 0.7561,                0.75036,                0.51212,                0.98577,                 1.0911,                 1.1171,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.0319,                 1.0976,                 1.1553,                0.63053,                0.75062,                0.73743,                 0.5031,                0.99264,                 1.1127,                 1.1162,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.0549,                 1.1266,                 1.1748,                0.63763,                0.75348,                0.75039,                0.52188,                0.96761,                   1.08,                 1.1022,             0.00063676,             0.00063676,             0.00063676
                     30,                 1.0453,                 1.1292,                 1.1695,                0.66122,                0.74286,                0.74817,                0.51115,                0.98342,                 1.0917,                  1.112,             0.00060847,             0.00060847,             0.00060847
                     31,                 1.0277,                 1.1115,                 1.1622,                0.66408,                0.75127,                0.74649,                0.51715,                0.98099,                 1.0591,                 1.1135,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.0197,                 1.0875,                 1.1478,                0.67508,                0.75195,                0.76108,                0.52112,                0.98524,                 1.0662,                  1.114,             0.00055188,             0.00055188,             0.00055188
                     33,                  1.022,                 1.1109,                 1.1642,                0.64829,                0.74709,                0.75045,                0.51962,                0.96896,                 1.0741,                 1.1063,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.0074,                 1.0895,                 1.1535,                0.66717,                0.74052,                0.75291,                0.52861,                0.93451,                 1.0563,                 1.0782,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.0091,                 1.0786,                 1.1533,                0.70508,                 0.7518,                0.77439,                0.54206,                0.94528,                 1.0255,                 1.0871,               0.000467,               0.000467,               0.000467
                     36,                 1.0089,                 1.0812,                   1.15,                0.67296,                0.73359,                0.74906,                0.51815,                0.96947,                 1.0653,                 1.1123,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.0043,                 1.0874,                 1.1527,                0.64554,                0.75264,                0.75868,                0.53141,                0.94254,                 1.0564,                 1.0952,             0.00041041,             0.00041041,             0.00041041
                     38,                0.99734,                 1.0697,                 1.1498,                0.67979,                0.75321,                0.76931,                0.53756,                0.94648,                 1.0273,                 1.0872,             0.00038211,             0.00038211,             0.00038211
                     39,                0.99159,                 1.0639,                 1.1438,                0.68788,                0.75371,                0.77222,                0.54001,                0.94647,                 1.0265,                 1.0854,             0.00035382,             0.00035382,             0.00035382
                     40,                0.99741,                  1.075,                 1.1549,                0.70693,                0.73255,                0.76961,                0.53735,                0.95091,                 1.0237,                 1.0946,             0.00032553,             0.00032553,             0.00032553
                     41,                0.97456,                 0.9973,                 1.1161,                0.70422,                0.74628,                0.77017,                0.54266,                0.93034,                0.99192,                 1.0917,             0.00029723,             0.00029723,             0.00029723
                     42,                0.96614,                 0.9719,                  1.109,                0.71587,                0.75127,                0.77772,                0.54926,                0.93189,                 1.0088,                 1.0809,             0.00026894,             0.00026894,             0.00026894
                     43,                0.96098,                0.97108,                 1.1073,                0.69116,                 0.7796,                 0.7794,                0.55586,                0.90725,                0.98187,                 1.0712,             0.00024064,             0.00024064,             0.00024064
                     44,                0.94556,                0.94372,                 1.0976,                0.71653,                0.75743,                0.78318,                0.55426,                0.91476,                0.96841,                 1.0737,             0.00021235,             0.00021235,             0.00021235
                     45,                0.94667,                0.95529,                 1.0988,                0.68363,                0.77007,                0.77339,                0.55309,                0.90427,                0.97966,                 1.0642,             0.00018406,             0.00018406,             0.00018406
                     46,                 0.9322,                  0.938,                 1.0895,                0.69107,                0.77251,                0.77814,                0.55695,                0.89665,                0.97075,                 1.0629,             0.00015576,             0.00015576,             0.00015576
                     47,                0.92147,                0.92026,                 1.0825,                 0.7043,                0.77059,                0.78506,                0.56067,                0.89635,                0.96481,                 1.0616,             0.00012747,             0.00012747,             0.00012747
                     48,                0.92435,                0.92522,                 1.0872,                0.68246,                0.78522,                 0.7897,                0.56938,                0.89304,                0.95768,                 1.0582,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.91625,                0.91507,                 1.0844,                0.70421,                0.77639,                0.79216,                0.57199,                0.89009,                   0.95,                 1.0592,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.91123,                0.90676,                 1.0854,                0.70613,                0.77687,                0.79379,                0.57438,                0.89013,                0.94119,                 1.0597,             4.2584e-05,             4.2584e-05,             4.2584e-05
