                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6161,                 2.3459,                 1.4181,                0.35625,                0.40305,                0.33901,                0.20402,                 1.4202,                 1.9246,                 1.3313,             0.00047332,             0.00047332,             0.00047332
                      2,                 1.4618,                 1.7724,                 1.3501,                0.38835,                0.44717,                0.39446,                0.23299,                 1.4483,                 1.8127,                 1.3199,             0.00093085,             0.00093085,             0.00093085
                      3,                 1.4641,                 1.7089,                 1.3363,                 0.4645,                0.38537,                0.39303,                0.22978,                  1.455,                 1.8053,                 1.3176,              0.0013695,              0.0013695,              0.0013695
                      4,                 1.4379,                 1.6323,                   1.33,                0.44408,                0.43395,                0.40168,                0.23483,                 1.4261,                 1.8128,                 1.2925,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.3884,                 1.5944,                 1.3118,                0.43534,                0.44527,                0.36289,                0.21391,                 1.3945,                 1.8472,                 1.2981,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.3681,                 1.5796,                 1.3008,                0.43751,                0.50513,                0.47345,                0.28541,                 1.3706,                  1.566,                 1.2642,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.3452,                 1.5221,                 1.2787,                0.44342,                   0.48,                0.46353,                0.28183,                 1.3383,                 1.5934,                 1.2551,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.3222,                 1.5024,                 1.2705,                0.45436,                0.51742,                0.48052,                 0.2936,                 1.3059,                  1.533,                 1.2368,              0.0012309,              0.0012309,              0.0012309
                      9,                  1.328,                 1.4781,                 1.2656,                0.46755,                0.52952,                0.50284,                0.31532,                 1.2626,                 1.5386,                 1.2046,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.2946,                 1.4724,                  1.265,                0.44556,                0.52861,                0.48083,                0.30153,                 1.2745,                 1.5587,                 1.2147,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.2965,                 1.4593,                 1.2558,                0.53682,                0.41424,                0.42837,                0.26463,                 1.3135,                 1.9531,                 1.2304,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.2824,                  1.451,                  1.251,                0.49093,                 0.5019,                0.49511,                0.30589,                 1.2859,                  1.479,                 1.2205,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.2722,                 1.4453,                 1.2506,                0.49429,                0.51475,                0.50784,                0.31696,                 1.2376,                 1.4937,                 1.1776,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.2605,                 1.4143,                 1.2361,                0.49107,                0.49323,                0.49679,                0.30665,                 1.2378,                 1.4645,                 1.1808,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.2465,                 1.3972,                 1.2375,                0.49026,                0.54277,                0.51263,                0.32411,                 1.2327,                 1.3978,                 1.1783,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.2416,                 1.3891,                 1.2298,                 0.5016,                0.54863,                0.53193,                0.32906,                 1.2152,                 1.3911,                  1.173,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.2367,                 1.3889,                 1.2268,                 0.4886,                0.55168,                0.52342,                 0.3252,                 1.2382,                 1.4164,                 1.1748,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.2204,                 1.3816,                 1.2219,                0.52507,                0.52646,                0.53223,                0.33491,                 1.2041,                 1.3818,                 1.1663,               0.000948,               0.000948,               0.000948
                     19,                 1.2281,                 1.3558,                 1.2208,                0.50239,                0.55424,                0.53223,                0.33629,                 1.2138,                  1.388,                 1.1618,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.2202,                   1.35,                 1.2225,                0.49098,                0.42344,                0.41525,                0.25431,                 1.3877,                 1.9046,                 1.2852,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.2197,                 1.3441,                 1.2158,                0.50512,                0.55602,                0.53652,                0.35038,                 1.1579,                 1.3467,                 1.1506,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.2109,                 1.3339,                 1.2205,                0.50955,                0.51308,                0.51408,                0.31525,                 1.2225,                 1.4007,                 1.1798,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.1964,                 1.3316,                 1.2103,                0.50078,                0.54108,                0.52703,                0.33702,                 1.1915,                 1.3619,                 1.1527,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.1875,                 1.3091,                 1.1984,                0.52601,                0.56288,                0.56874,                0.36596,                 1.1534,                 1.3027,                   1.14,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.1729,                 1.3077,                 1.1996,                0.57005,                 0.5287,                0.54955,                 0.3481,                  1.184,                 1.3148,                   1.15,             0.00074994,             0.00074994,             0.00074994
