                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4758,                 2.3157,                 1.4021,                0.42198,                0.47536,                0.39115,                0.22604,                 1.3632,                 1.8885,                 1.3507,             0.00047332,             0.00047332,             0.00047332
                      2,                 1.3634,                 1.7807,                 1.3403,                0.38542,                0.52376,                0.42189,                0.25195,                 1.3139,                 1.9708,                 1.3045,             0.00093085,             0.00093085,             0.00093085
                      3,                 1.3624,                  1.738,                 1.3396,                0.40502,                0.49477,                0.38716,                0.23622,                  1.343,                  1.818,                 1.3532,              0.0013695,              0.0013695,              0.0013695
                      4,                 1.3249,                 1.6552,                  1.325,                0.35319,                0.50725,                0.39442,                0.23171,                  1.475,                 1.8942,                 1.4909,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.2973,                 1.6183,                 1.3211,                0.43654,                0.56752,                0.47245,                0.29479,                 1.2607,                  1.652,                 1.2737,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.2729,                 1.5661,                 1.3038,                0.52197,                0.52114,                0.51438,                 0.3227,                  1.301,                 1.8039,                 1.2783,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.2449,                 1.5289,                 1.2849,                 0.4651,                0.60563,                0.54077,                0.34751,                  1.187,                 1.4906,                 1.2269,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.2304,                 1.5176,                 1.2756,                0.47171,                0.58192,                0.52548,                0.33819,                 1.1658,                 1.5433,                 1.2061,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.2155,                 1.4846,                 1.2742,                0.51418,                0.59102,                0.54078,                0.34536,                 1.1744,                 1.4383,                 1.2166,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.1924,                 1.4424,                 1.2555,                0.51222,                0.58813,                0.56656,                0.36485,                 1.1338,                 1.4206,                 1.1713,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.1901,                 1.4608,                 1.2554,                0.59911,                0.56217,                0.56733,                0.37549,                 1.1031,                 1.6255,                 1.1571,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.1683,                 1.4258,                 1.2416,                0.55045,                0.56497,                0.56319,                0.35925,                 1.1854,                 1.4716,                 1.2308,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.1699,                  1.423,                 1.2468,                 0.6057,                0.42704,                0.46304,                0.30947,                 1.2276,                 2.3795,                  1.214,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.1565,                 1.3815,                 1.2269,                0.58242,                 0.5787,                0.56003,                0.36813,                 1.1365,                  1.451,                 1.1616,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.1454,                 1.3899,                 1.2402,                0.45146,                0.65817,                0.55054,                0.37625,                 1.0555,                 1.4034,                  1.131,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.1367,                 1.3706,                  1.229,                0.54554,                0.57697,                0.57506,                0.37483,                  1.109,                 1.3986,                 1.1765,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.1322,                  1.357,                 1.2183,                0.51144,                0.66821,                0.59999,                0.40144,                 1.0478,                 1.3044,                 1.1236,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.1284,                 1.3663,                 1.2196,                0.47968,                0.66181,                0.58713,                0.40249,                 1.0541,                 1.3185,                 1.1185,               0.000948,               0.000948,               0.000948
                     19,                 1.1186,                 1.3487,                 1.2197,                0.51199,                0.63673,                0.60518,                0.40796,                 1.0379,                 1.2906,                 1.1199,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.1174,                 1.3395,                 1.2186,                0.49723,                0.64264,                0.60275,                0.40707,                 1.0367,                 1.3126,                 1.1299,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.1053,                 1.3444,                 1.2091,                0.55804,                0.63097,                 0.6271,                0.42656,                 1.0405,                 1.2691,                 1.1212,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.0971,                 1.3247,                 1.2157,                0.58228,                0.63404,                0.63573,                 0.4308,                  1.026,                 1.2201,                 1.1143,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.0964,                 1.3286,                  1.207,                 0.5436,                0.65482,                0.63432,                0.43068,                 1.0236,                 1.2442,                  1.091,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.0868,                 1.3009,                 1.1971,                0.56883,                 0.6513,                 0.6523,                0.45175,                0.97186,                 1.2134,                 1.0851,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.0771,                 1.2948,                 1.1875,                0.58031,                0.62239,                0.62795,                 0.4271,                 1.0214,                 1.2552,                 1.1039,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.0749,                 1.3018,                  1.192,                0.56859,                0.63224,                0.61777,                0.41834,                 1.0145,                 1.2341,                 1.1029,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.0685,                 1.2842,                 1.1954,                 0.5316,                0.66277,                0.60996,                0.42976,                0.98948,                  1.227,                 1.0854,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.0591,                 1.2664,                 1.1781,                0.57577,                0.63755,                0.64112,                0.44115,                0.99315,                 1.2171,                 1.0969,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.0673,                 1.2781,                 1.1896,                0.53175,                0.68447,                0.64386,                0.44519,                0.98382,                 1.2229,                 1.0852,             0.00063676,             0.00063676,             0.00063676
                     30,                 1.0537,                 1.2655,                 1.1814,                0.61497,                0.65958,                0.67674,                0.46601,                0.98938,                 1.1635,                 1.0884,             0.00060847,             0.00060847,             0.00060847
                     31,                 1.0504,                 1.2633,                 1.1852,                0.61373,                0.66583,                0.66203,                0.45858,                0.98221,                 1.1629,                 1.0819,             0.00058017,             0.00058017,             0.00058017
                     32,                   1.04,                 1.2361,                 1.1698,                0.63738,                0.62704,                0.65604,                0.45938,                0.98249,                 1.1898,                 1.0824,             0.00055188,             0.00055188,             0.00055188
                     33,                 1.0421,                 1.2525,                 1.1751,                 0.5503,                0.68457,                0.64953,                0.45807,                0.97037,                 1.1787,                 1.0771,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.0294,                 1.2202,                 1.1666,                0.57688,                0.67427,                0.65217,                0.46482,                0.94769,                 1.1607,                 1.0599,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.0201,                 1.2071,                 1.1588,                0.55079,                0.67738,                0.65746,                0.47023,                0.94941,                 1.1597,                 1.0654,               0.000467,               0.000467,               0.000467
                     36,                  1.032,                 1.2401,                 1.1718,                0.57664,                0.65811,                 0.6533,                0.45969,                0.95744,                 1.1738,                 1.0654,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.0138,                 1.1969,                 1.1556,                0.60212,                0.66823,                0.67036,                0.47134,                0.96413,                  1.146,                 1.0794,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.0141,                 1.2022,                 1.1657,                0.61204,                0.66899,                0.67423,                0.48018,                0.93501,                 1.1319,                 1.0551,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.0107,                 1.1955,                 1.1505,                0.62329,                0.65859,                0.67267,                0.48016,                0.92878,                 1.1243,                 1.0522,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.0056,                 1.2083,                 1.1653,                0.59659,                0.67745,                0.66645,                0.47581,                0.94051,                 1.1347,                 1.0562,             0.00032553,             0.00032553,             0.00032553
                     41,                0.99433,                 1.1524,                 1.1312,                0.60215,                0.66491,                0.66525,                0.47506,                0.92857,                 1.1247,                 1.0587,             0.00029723,             0.00029723,             0.00029723
                     42,                0.98202,                 1.1316,                 1.1219,                 0.6417,                0.66241,                0.68956,                0.49589,                0.93339,                  1.083,                 1.0553,             0.00026894,             0.00026894,             0.00026894
                     43,                0.97022,                 1.1175,                 1.1203,                0.61267,                0.67305,                0.68437,                0.49273,                0.91586,                 1.0938,                 1.0473,             0.00024064,             0.00024064,             0.00024064
                     44,                0.95943,                 1.0961,                 1.1131,                0.64666,                0.65904,                0.69231,                0.50157,                 0.9265,                 1.0775,                 1.0547,             0.00021235,             0.00021235,             0.00021235
                     45,                0.95775,                 1.0961,                   1.11,                0.62693,                0.67623,                0.69005,                0.49942,                0.91124,                 1.0803,                 1.0452,             0.00018406,             0.00018406,             0.00018406
                     46,                0.94342,                 1.0856,                 1.1024,                0.61211,                0.69556,                0.69384,                0.50649,                0.91369,                 1.0728,                 1.0449,             0.00015576,             0.00015576,             0.00015576
                     47,                0.93627,                 1.0733,                 1.1013,                0.61455,                0.69217,                0.69449,                0.50618,                 0.9177,                 1.0626,                 1.0491,             0.00012747,             0.00012747,             0.00012747
                     48,                0.93305,                 1.0655,                 1.0982,                0.62563,                0.68745,                0.69423,                0.50714,                0.91583,                 1.0689,                 1.0459,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.93038,                 1.0531,                 1.0978,                 0.6337,                0.67922,                0.69775,                 0.5084,                0.91198,                 1.0647,                 1.0444,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.92166,                 1.0504,                 1.0923,                0.64418,                0.68041,                0.70215,                0.51044,                0.90617,                 1.0547,                 1.0394,             4.2584e-05,             4.2584e-05,             4.2584e-05
