                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3749,                 1.8784,                 1.0344,                0.70077,                0.69302,                0.72398,                0.48911,                 1.1043,                 1.3174,                 1.0121,             0.00047332,             0.00047332,             0.00047332
                      2,                 1.2046,                 1.2089,                 1.0083,                0.67723,                0.68001,                0.70757,                0.47008,                 1.1479,                 1.4937,                 1.0409,             0.00093085,             0.00093085,             0.00093085
                      3,                 1.1707,                 1.0924,                0.99136,                0.70974,                0.76633,                0.74739,                 0.4839,                 1.2053,                 1.1576,                 1.0685,              0.0013695,              0.0013695,              0.0013695
                      4,                 1.1621,                 1.0315,                0.98618,                0.62418,                0.66744,                0.72658,                0.48048,                 1.2187,                 1.4883,                 1.0544,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.1231,                0.99151,                0.98042,                0.74216,                0.77542,                0.79814,                 0.5526,                 1.0742,                 1.0111,                  1.024,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.1194,                0.93833,                0.98368,                0.65499,                0.75812,                0.72335,                0.50157,                 1.0948,                 1.0785,                 1.0216,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.0955,                0.92941,                0.97782,                0.66444,                0.65072,                0.70244,                0.47736,                 1.2084,                 1.4332,                 1.0568,              0.0012592,              0.0012592,              0.0012592
                      8,                  1.086,                0.91848,                0.97257,                0.71429,                0.61179,                0.73142,                0.49659,                 1.1699,                 1.4941,                0.99979,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.0833,                0.88129,                0.96905,                0.75618,                0.81482,                0.82687,                0.58503,                 1.0378,                0.90728,                 1.0107,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.0553,                 0.8678,                0.97343,                 0.7502,                0.78425,                0.81995,                0.59216,                0.99579,                 0.9243,                0.99704,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.0443,                0.85655,                0.95514,                0.76019,                0.80667,                0.84134,                0.60429,                 1.0119,                0.91204,                0.98049,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.0243,                0.82097,                0.94979,                0.75735,                0.79581,                0.83452,                0.58994,                 1.0365,                0.92391,                0.98893,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.0166,                0.80687,                0.95369,                0.78879,                0.79872,                0.85078,                0.59244,                 1.0353,                0.89869,                 1.0062,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.0247,                0.79889,                0.94511,                0.79837,                0.82879,                0.86764,                0.62886,                0.94645,                0.78999,                0.95723,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.0057,                0.79246,                0.94582,                0.71986,                0.54151,                0.73505,                0.51064,                 1.1884,                 1.5713,                 1.0004,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.0068,                0.79137,                0.94496,                0.79281,                0.83419,                0.85789,                0.62498,                0.93992,                0.79492,                0.95174,              0.0010046,              0.0010046,              0.0010046
                     17,                  1.002,                0.78518,                0.94196,                 0.7864,                0.79597,                0.84147,                0.60562,                0.96395,                0.87043,                 0.9711,             0.00097629,             0.00097629,             0.00097629
                     18,                0.99883,                 0.7843,                0.94417,                0.79258,                0.81657,                0.86452,                0.62976,                0.94193,                0.79352,                0.95811,               0.000948,               0.000948,               0.000948
                     19,                0.98547,                0.76601,                0.93986,                0.79116,                0.84153,                  0.874,                0.64501,                0.92311,                0.76011,                0.95123,              0.0009197,              0.0009197,              0.0009197
                     20,                0.98257,                0.75477,                0.93733,                0.79823,                0.84927,                 0.8775,                0.64944,                0.91995,                0.76814,                0.93964,             0.00089141,             0.00089141,             0.00089141
                     21,                0.97925,                0.73828,                0.93689,                0.80834,                0.84314,                0.88209,                0.65446,                0.92845,                0.75205,                0.94164,             0.00086312,             0.00086312,             0.00086312
                     22,                  0.979,                0.76325,                0.94573,                0.80389,                0.84657,                0.88123,                0.65259,                0.91205,                0.75621,                 0.9459,             0.00083482,             0.00083482,             0.00083482
                     23,                0.95577,                0.73579,                0.93449,                0.78626,                0.84833,                0.86923,                0.64635,                0.88832,                0.76185,                0.93122,             0.00080653,             0.00080653,             0.00080653
                     24,                0.96643,                0.74427,                0.93517,                0.81221,                0.85917,                0.88115,                0.65937,                0.89341,                0.71142,                0.93298,             0.00077823,             0.00077823,             0.00077823
                     25,                0.95216,                0.72048,                0.92714,                0.78414,                0.79375,                0.85101,                0.63284,                0.91923,                  0.883,                0.93275,             0.00074994,             0.00074994,             0.00074994
                     26,                0.96326,                0.74354,                0.93552,                0.81009,                 0.8314,                0.87312,                0.64973,                0.90817,                0.76581,                0.92684,             0.00072164,             0.00072164,             0.00072164
                     27,                0.94479,                0.70868,                0.92717,                0.80418,                0.85349,                0.86968,                0.65201,                0.88071,                0.71537,                0.93365,             0.00069335,             0.00069335,             0.00069335
                     28,                0.95118,                 0.7212,                0.93384,                0.81511,                0.84985,                0.88339,                0.66787,                0.87258,                0.71769,                0.91912,             0.00066506,             0.00066506,             0.00066506
                     29,                0.94479,                0.70751,                0.92507,                0.83204,                0.85282,                0.89649,                0.67803,                0.86538,                0.69147,                 0.9239,             0.00063676,             0.00063676,             0.00063676
                     30,                0.93927,                0.72243,                0.92808,                0.78063,                0.84346,                0.85539,                0.63319,                0.91284,                0.77633,                 0.9392,             0.00060847,             0.00060847,             0.00060847
                     31,                0.92782,                0.70462,                0.92845,                0.82006,                0.85431,                0.88798,                0.66998,                0.86823,                0.69207,                0.92452,             0.00058017,             0.00058017,             0.00058017
                     32,                0.92278,                0.69085,                0.92102,                0.82577,                0.85994,                0.89771,                0.68477,                 0.8468,                0.69631,                0.91027,             0.00055188,             0.00055188,             0.00055188
                     33,                0.91821,                0.69816,                0.92123,                0.83927,                0.84951,                0.90161,                0.69012,                0.84199,                0.67135,                0.91449,             0.00052359,             0.00052359,             0.00052359
                     34,                0.92032,                0.70993,                0.92968,                0.81728,                0.86742,                0.89491,                0.68677,                0.82866,                0.67542,                0.90273,             0.00049529,             0.00049529,             0.00049529
                     35,                0.91476,                0.68165,                0.91806,                0.82888,                0.87251,                 0.8989,                0.69118,                0.82578,                0.65378,                0.90155,               0.000467,               0.000467,               0.000467
                     36,                0.90297,                0.66878,                0.91641,                0.83355,                0.85144,                0.89427,                0.68391,                0.83439,                0.67564,                0.90829,              0.0004387,              0.0004387,              0.0004387
                     37,                0.89908,                0.67611,                0.91676,                0.83036,                0.86596,                0.89946,                0.68805,                0.83158,                0.65958,                 0.9087,             0.00041041,             0.00041041,             0.00041041
                     38,                0.89139,                0.65948,                 0.9137,                0.83559,                0.85693,                0.89383,                0.68792,                0.83212,                0.66698,                0.90039,             0.00038211,             0.00038211,             0.00038211
                     39,                0.90512,                0.68132,                 0.9233,                0.83542,                0.85889,                0.89891,                0.69007,                0.82612,                0.65339,                0.90748,             0.00035382,             0.00035382,             0.00035382
                     40,                0.89102,                0.66197,                0.91731,                0.84633,                0.85648,                0.90014,                0.69175,                0.82632,                0.65538,                0.90278,             0.00032553,             0.00032553,             0.00032553
                     41,                0.87153,                0.59602,                 0.8897,                0.84307,                0.86831,                0.90185,                 0.6946,                0.81525,                0.63357,                  0.895,             0.00029723,             0.00029723,             0.00029723
                     42,                0.86102,                 0.5907,                0.89064,                0.84501,                0.86503,                0.90574,                0.70299,                0.81204,                0.63508,                0.89836,             0.00026894,             0.00026894,             0.00026894
                     43,                0.86195,                0.58534,                 0.8882,                0.84441,                0.86898,                0.90726,                0.71064,                0.80271,                0.61687,                0.89529,             0.00024064,             0.00024064,             0.00024064
                     44,                0.85255,                0.57183,                 0.8846,                0.85548,                0.86899,                0.90774,                0.70749,                0.80324,                0.61642,                0.88795,             0.00021235,             0.00021235,             0.00021235
                     45,                0.84743,                0.56201,                0.87734,                0.85141,                0.86749,                0.90895,                0.71248,                0.79197,                0.61625,                0.88632,             0.00018406,             0.00018406,             0.00018406
                     46,                0.83657,                0.55806,                0.87843,                0.85249,                0.86816,                0.90661,                0.71081,                 0.7919,                  0.611,                0.89043,             0.00015576,             0.00015576,             0.00015576
                     47,                0.83027,                0.55236,                0.87913,                0.84753,                 0.8757,                 0.9099,                0.71704,                0.78344,                0.60043,                0.88228,             0.00012747,             0.00012747,             0.00012747
                     48,                0.83226,                0.55493,                0.87589,                0.85224,                0.86833,                0.91023,                 0.7162,                0.78151,                0.60167,                0.87852,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.82758,                0.54945,                0.88101,                0.84927,                0.87954,                0.91445,                0.72272,                0.77446,                0.59182,                0.87865,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.82491,                0.53579,                0.87727,                0.85888,                0.87357,                0.91419,                  0.723,                0.77259,                0.59143,                0.87631,             4.2584e-05,             4.2584e-05,             4.2584e-05
