                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3729,                  1.884,                  1.032,                0.66743,                 0.7282,                0.70824,                 0.4581,                 1.1245,                 1.2629,                0.97188,             0.00047332,             0.00047332,             0.00047332
                      2,                 1.2292,                 1.1944,                 1.0069,                0.67902,                0.74319,                0.74835,                0.48342,                 1.1451,                 1.2106,                 1.0086,             0.00093085,             0.00093085,             0.00093085
                      3,                 1.1935,                 1.0857,                0.98806,                0.66464,                0.70674,                0.71072,                0.44259,                 1.2252,                 1.2263,                 1.0147,              0.0013695,              0.0013695,              0.0013695
                      4,                 1.1665,                 1.0276,                0.98306,                0.58816,                0.79746,                 0.7526,                 0.4885,                 1.1341,                 1.3298,                 0.9996,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.1433,                0.97926,                 0.9745,                0.69179,                0.72517,                0.75643,                0.49639,                 1.1514,                  1.082,                0.99572,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.1394,                0.93507,                0.97046,                0.61325,                0.72234,                0.68374,                0.43871,                  1.182,                  1.189,                0.99346,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.1155,                0.92673,                0.97635,                0.67401,                 0.7357,                0.74675,                0.49547,                 1.1294,                 1.0289,                0.98117,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.1013,                0.89869,                0.97057,                0.70837,                0.75317,                0.77459,                0.49919,                 1.1783,                 1.0317,                0.98615,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.0932,                0.87497,                0.96649,                0.68033,                0.81326,                0.78929,                0.54886,                  1.009,                0.97212,                0.94895,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.0625,                0.85204,                0.96619,                0.73913,                 0.8099,                0.82207,                0.56413,                 1.0436,                 0.8378,                0.96702,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.0611,                0.85641,                0.96043,                0.69308,                0.75663,                0.78454,                0.53514,                 1.0627,                0.98119,                0.97108,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.0504,                 0.8335,                0.95516,                0.73574,                0.80557,                0.82408,                 0.5797,                0.98922,                0.86334,                0.94878,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.0445,                0.80017,                0.94847,                0.75134,                0.79321,                0.81912,                0.58191,                0.97663,                0.80574,                0.95315,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.0569,                0.81162,                0.95006,                0.72885,                0.81124,                0.82062,                0.57609,                0.98262,                0.87367,                0.94647,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.0324,                0.79285,                0.94815,                0.74446,                0.77264,                0.81901,                0.57232,                 1.0199,                0.89745,                0.93198,              0.0010329,              0.0010329,              0.0010329
                     16,                  1.012,                0.78171,                0.94591,                0.73965,                0.81258,                0.82071,                0.57328,                0.99158,                0.82917,                0.94275,              0.0010046,              0.0010046,              0.0010046
                     17,                0.99759,                0.77673,                0.94035,                0.63855,                0.75185,                0.76065,                0.52038,                 1.0735,                 1.1248,                0.93551,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.0066,                0.77458,                0.93904,                0.76663,                0.81109,                0.83566,                0.58666,                0.96909,                0.80951,                0.92685,               0.000948,               0.000948,               0.000948
                     19,                0.99621,                0.76049,                0.93924,                  0.783,                0.79402,                 0.8412,                0.59823,                0.95018,                0.80365,                0.92269,              0.0009197,              0.0009197,              0.0009197
                     20,                 0.9951,                0.76682,                0.93674,                 0.7685,                 0.7978,                0.83366,                0.57908,                0.98138,                0.80438,                 0.9355,             0.00089141,             0.00089141,             0.00089141
