                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3237,                 1.8533,                 1.0261,                0.66923,                0.77254,                0.73646,                0.48378,                 1.1256,                 1.3142,                 1.0302,             0.00047332,             0.00047332,             0.00047332
                      2,                 1.2015,                 1.1948,                 1.0068,                0.69515,                0.74892,                0.75634,                0.50838,                 1.1228,                 1.1998,                 1.0486,             0.00093085,             0.00093085,             0.00093085
                      3,                 1.1764,                 1.0768,                0.98972,                0.67687,                0.78277,                0.75159,                0.49981,                 1.1334,                 1.1839,                 1.0499,              0.0013695,              0.0013695,              0.0013695
                      4,                 1.1712,                 1.0454,                0.98786,                0.63996,                0.76752,                0.77584,                0.52395,                 1.1381,                 1.2301,                 1.0539,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.1266,                 0.9811,                0.97923,                0.75531,                0.78631,                0.81744,                0.56262,                 1.0511,                 0.9503,                 1.0122,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.1192,                0.94483,                0.97725,                0.68497,                0.79629,                0.76969,                0.53188,                 1.0771,                 1.0001,                 1.0453,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.0974,                0.91483,                0.97469,                0.66829,                0.64635,                0.73406,                0.48501,                 1.2256,                 1.5824,                 1.0379,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.0916,                0.89308,                0.96998,                0.69173,                0.72313,                0.77721,                0.53428,                 1.1164,                  1.193,                0.99998,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.0737,                0.85536,                0.96414,                0.75998,                0.82817,                0.82563,                0.59363,                 0.9965,                0.85498,                0.98541,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.0496,                0.84938,                0.96873,                0.75012,                0.81108,                0.84091,                0.59507,                0.99331,                0.86555,                0.98072,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.0428,                0.84833,                0.95543,                0.79935,                0.78244,                0.84859,                0.59864,                 1.0162,                0.89594,                0.98693,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.0297,                0.82453,                0.94792,                0.78423,                0.81317,                0.85273,                 0.6102,                0.98921,                 0.8418,                0.98007,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.0163,                0.79076,                0.95015,                0.78791,                0.82067,                0.84857,                0.60603,                0.99176,                0.84567,                0.97792,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.0217,                0.78916,                0.94456,                0.78452,                0.82223,                0.86188,                0.63038,                  0.943,                0.82314,                0.96084,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.0087,                0.78109,                 0.9458,                0.79367,                0.82576,                0.86206,                 0.6278,                0.94615,                0.81502,                0.96156,              0.0010329,              0.0010329,              0.0010329
                     16,                0.99836,                0.76966,                 0.9411,                0.80398,                0.84002,                0.87371,                0.64197,                 0.9171,                0.75547,                0.94462,              0.0010046,              0.0010046,              0.0010046
                     17,                0.99622,                 0.7698,                0.93949,                0.77467,                0.80494,                 0.8464,                0.61051,                0.97346,                0.85767,                0.97165,             0.00097629,             0.00097629,             0.00097629
                     18,                0.99765,                0.77558,                0.94142,                0.78615,                 0.8425,                 0.8597,                0.62948,                0.92497,                0.78691,                 0.9527,               0.000948,               0.000948,               0.000948
                     19,                 0.9838,                0.75612,                0.93904,                0.80773,                0.83605,                0.87221,                0.64735,                0.91073,                0.75644,                0.94399,              0.0009197,              0.0009197,              0.0009197
                     20,                0.97845,                0.75103,                 0.9352,                0.80625,                0.82902,                0.87513,                0.64931,                0.90416,                0.75648,                0.93931,             0.00089141,             0.00089141,             0.00089141
                     21,                0.98177,                0.73521,                0.93665,                0.79169,                0.85893,                0.87441,                0.64897,                0.90641,                0.74536,                0.93568,             0.00086312,             0.00086312,             0.00086312
                     22,                0.97601,                0.74862,                0.94504,                 0.8179,                0.85991,                0.89196,                0.66576,                0.87574,                 0.7197,                0.93052,             0.00083482,             0.00083482,             0.00083482
                     23,                0.95476,                0.72958,                0.93337,                0.79469,                0.84412,                0.87345,                0.65116,                0.88626,                0.75209,                 0.9316,             0.00080653,             0.00080653,             0.00080653
                     24,                0.96576,                 0.7273,                0.93209,                0.79448,                0.86218,                0.88512,                0.66408,                0.87873,                0.73432,                0.92754,             0.00077823,             0.00077823,             0.00077823
                     25,                0.94559,                0.71276,                0.92503,                0.79848,                0.83373,                0.86586,                0.64346,                 0.8983,                0.78926,                 0.9301,             0.00074994,             0.00074994,             0.00074994
                     26,                0.95837,                0.72738,                0.93478,                0.79224,                0.85338,                0.86618,                0.64584,                0.90207,                0.74742,                0.92831,             0.00072164,             0.00072164,             0.00072164
                     27,                0.94002,                0.69609,                 0.9249,                0.82394,                0.85918,                0.88278,                0.66739,                0.85918,                0.68977,                 0.9239,             0.00069335,             0.00069335,             0.00069335
                     28,                0.95112,                0.71651,                0.93294,                0.82015,                0.86369,                0.88437,                 0.6707,                0.85657,                0.68705,                0.91487,             0.00066506,             0.00066506,             0.00066506
                     29,                0.94475,                0.69559,                0.92456,                0.84573,                0.84473,                0.89911,                0.68242,                0.84452,                0.67059,                0.90866,             0.00063676,             0.00063676,             0.00063676
                     30,                0.93402,                0.70461,                0.92557,                0.82264,                0.87244,                0.88581,                0.66154,                0.86807,                0.69805,                0.91501,             0.00060847,             0.00060847,             0.00060847
                     31,                0.92672,                 0.6947,                0.92712,                0.84857,                0.84416,                0.89225,                 0.6736,                0.86429,                0.69045,                0.92665,             0.00058017,             0.00058017,             0.00058017
                     32,                0.92411,                0.68083,                0.92211,                 0.8394,                0.85402,                0.89817,                0.68005,                0.86618,                0.68083,                0.91743,             0.00055188,             0.00055188,             0.00055188
                     33,                 0.9113,                0.67998,                0.91779,                0.83233,                0.86748,                0.89755,                0.68497,                0.83237,                0.66459,                0.91238,             0.00052359,             0.00052359,             0.00052359
                     34,                0.91697,                0.69205,                0.92826,                0.83675,                0.85605,                0.89345,                0.68259,                0.84308,                0.67966,                 0.9165,             0.00049529,             0.00049529,             0.00049529
                     35,                0.91332,                0.67776,                0.91805,                0.83601,                0.86471,                0.89865,                0.69259,                0.82979,                0.64815,                0.90957,               0.000467,               0.000467,               0.000467
                     36,                0.90371,                0.66401,                0.91683,                0.82835,                0.85688,                0.89019,                0.68078,                0.84898,                0.67857,                 0.9133,              0.0004387,              0.0004387,              0.0004387
                     37,                0.89753,                 0.6667,                0.91582,                0.84603,                0.85174,                0.89687,                0.68855,                0.83356,                0.65533,                0.90627,             0.00041041,             0.00041041,             0.00041041
                     38,                0.89104,                0.65405,                0.91457,                0.83838,                0.86762,                0.89345,                 0.6829,                0.83192,                0.63914,                0.90581,             0.00038211,             0.00038211,             0.00038211
                     39,                 0.9053,                0.67276,                0.92301,                0.83523,                0.87035,                0.90065,                0.68849,                0.82776,                0.63999,                 0.9088,             0.00035382,             0.00035382,             0.00035382
                     40,                0.88705,                0.65078,                 0.9163,                0.84744,                0.85691,                0.89948,                 0.6954,                0.82192,                0.64518,                0.90579,             0.00032553,             0.00032553,             0.00032553
                     41,                0.86283,                0.57928,                0.88571,                0.84476,                0.86779,                0.89876,                0.69617,                0.80635,                0.62584,                0.89501,             0.00029723,             0.00029723,             0.00029723
                     42,                 0.8566,                  0.586,                0.88692,                0.85473,                0.86185,                0.90663,                0.70721,                0.80573,                0.62013,                  0.896,             0.00026894,             0.00026894,             0.00026894
                     43,                0.85799,                0.57817,                0.88574,                0.84228,                0.88642,                0.90823,                0.70545,                0.80641,                 0.6165,                 0.8976,             0.00024064,             0.00024064,             0.00024064
