                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3536,                 1.8372,                 1.0301,                0.72144,                0.74065,                 0.7538,                0.48838,                 1.1366,                 1.2514,                 1.0176,             0.00047332,             0.00047332,             0.00047332
                      2,                 1.1966,                 1.1856,                 1.0063,                 0.7335,                0.75461,                  0.773,                0.52413,                 1.1062,                 1.1146,                 1.0497,             0.00093085,             0.00093085,             0.00093085
                      3,                 1.1666,                 1.0805,                 0.9921,                0.67237,                0.75563,                0.72429,                0.47588,                 1.1954,                 1.1717,                 1.0572,              0.0013695,              0.0013695,              0.0013695
                      4,                 1.1568,                 1.0135,                0.98566,                0.71801,                0.78485,                 0.7994,                  0.552,                 1.0974,                 1.0282,                 1.0199,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.1202,                0.95121,                0.98131,                0.76845,                0.78383,                0.82934,                0.56987,                 1.0666,                0.93359,                 1.0289,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.0946,                0.91274,                0.97644,                0.73262,                0.76524,                0.79699,                0.55435,                 1.0718,                 1.0365,                 1.0248,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.0857,                0.91646,                 0.9754,                0.75782,                0.80207,                0.82084,                0.56821,                  1.079,                 0.9013,                 1.0262,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.0739,                0.87642,                0.96819,                0.75001,                0.81402,                0.83055,                0.58929,                 1.0305,                 0.9145,                 1.0006,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.0703,                0.85966,                0.96627,                0.75043,                0.81914,                0.81953,                0.58615,                 1.0306,                0.86885,                0.99927,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.0328,                0.83831,                0.96592,                0.77619,                0.79641,                0.83005,                0.59372,                 1.0106,                0.89155,                 1.0135,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.0354,                0.82887,                0.95408,                0.66403,                0.62846,                0.76082,                0.49947,                 1.2048,                 1.4821,                0.98698,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.0208,                0.80619,                0.94933,                0.80419,                0.83261,                0.85853,                0.62543,                0.96338,                0.78474,                 0.9679,              0.0011178,              0.0011178,              0.0011178
