                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1901,                 1.3568,                0.97199,                0.65729,                0.73077,                0.70407,                0.43988,                 1.2167,                 1.2093,                 1.0562,             0.00047533,             0.00047533,             0.00047533
                      2,                 1.0026,                0.82149,                0.92833,                0.66889,                0.70489,                0.72597,                0.48226,                 1.1704,                 1.1161,                 1.0442,             0.00093282,             0.00093282,             0.00093282
                      3,                0.97502,                0.75211,                0.92509,                0.68712,                0.71538,                0.72076,                0.46809,                 1.2128,                 1.0363,                 1.0936,              0.0013714,              0.0013714,              0.0013714
                      4,                0.94645,                0.70292,                  0.917,                 0.6955,                0.76635,                0.76539,                0.52118,                 1.1008,                0.91209,                 1.0305,              0.0013441,              0.0013441,              0.0013441
                      5,                0.91469,                0.67206,                0.91213,                 0.7041,                0.74522,                0.76846,                0.52036,                 1.0906,                0.97939,                 1.0127,              0.0013158,              0.0013158,              0.0013158
                      6,                0.89082,                0.64218,                0.90534,                0.72078,                0.73523,                0.75547,                0.51192,                 1.1015,                0.89631,                 1.0697,              0.0012875,              0.0012875,              0.0012875
                      7,                0.87659,                0.62975,                0.90399,                 0.7478,                0.74942,                 0.7921,                0.54333,                 1.0497,                0.87721,                0.97917,              0.0012592,              0.0012592,              0.0012592
                      8,                0.85698,                0.61083,                0.89905,                 0.6844,                0.73779,                0.76928,                0.53709,                 1.0457,                0.99972,                0.97628,              0.0012309,              0.0012309,              0.0012309
                      9,                 0.8466,                0.59373,                0.89806,                0.73902,                0.76925,                0.79537,                0.56831,                 1.0063,                0.82385,                0.98774,              0.0012026,              0.0012026,              0.0012026
                     10,                0.83497,                0.58107,                0.89562,                0.70111,                0.73513,                0.77298,                0.53574,                 1.0575,                0.93298,                0.98852,              0.0011744,              0.0011744,              0.0011744
                     11,                  0.825,                0.58015,                 0.8923,                0.71005,                 0.7231,                0.77679,                0.54737,                 1.0342,                 1.0043,                0.94853,              0.0011461,              0.0011461,              0.0011461
                     12,                0.80977,                0.56486,                0.88903,                0.77266,                0.79346,                0.83064,                0.59566,                0.96048,                0.76781,                0.95529,              0.0011178,              0.0011178,              0.0011178
                     13,                0.81324,                0.56775,                0.89064,                0.76966,                0.81015,                0.83814,                 0.6052,                0.94804,                0.74139,                0.94278,              0.0010895,              0.0010895,              0.0010895
                     14,                0.80488,                0.54503,                0.88508,                0.75852,                0.78505,                0.81475,                0.58621,                0.95273,                0.75383,                0.96632,              0.0010612,              0.0010612,              0.0010612
                     15,                0.79359,                 0.5441,                0.88535,                0.77422,                0.80859,                0.83723,                0.60525,                0.94517,                0.71759,                0.94356,              0.0010329,              0.0010329,              0.0010329
                     16,                0.78483,                 0.5401,                0.88528,                0.78373,                0.80202,                 0.8419,                0.61184,                0.92599,                0.71118,                0.94021,              0.0010046,              0.0010046,              0.0010046
                     17,                0.77741,                 0.5295,                 0.8829,                0.75937,                0.83028,                0.84464,                0.61819,                0.90067,                0.71509,                0.92037,             0.00097629,             0.00097629,             0.00097629
                     18,                0.77015,                 0.5309,                0.88424,                0.77313,                0.82059,                0.84586,                0.62258,                0.90134,                0.70332,                0.93104,               0.000948,               0.000948,               0.000948
                     19,                0.76939,                 0.5169,                0.87695,                0.78824,                 0.8264,                0.85564,                0.63417,                0.89082,                0.68235,                0.91943,              0.0009197,              0.0009197,              0.0009197
                     20,                0.76253,                0.51503,                0.87995,                0.78645,                0.82122,                0.85648,                0.63388,                0.88128,                0.67681,                0.92204,             0.00089141,             0.00089141,             0.00089141
                     21,                0.75956,                 0.5174,                   0.88,                0.80177,                0.81757,                 0.8587,                0.63367,                0.88883,                0.67709,                0.91886,             0.00086312,             0.00086312,             0.00086312
                     22,                0.75857,                0.51563,                0.87883,                0.79116,                0.82179,                0.85843,                0.63319,                0.88311,                0.67871,                0.91661,             0.00083482,             0.00083482,             0.00083482
                     23,                0.74984,                0.50744,                 0.8783,                0.78664,                0.83426,                 0.8579,                0.63863,                0.87853,                0.68757,                0.91636,             0.00080653,             0.00080653,             0.00080653
                     24,                0.74611,                0.50513,                0.87952,                0.78994,                0.83052,                0.85814,                0.63873,                0.87643,                0.67314,                0.91617,             0.00077823,             0.00077823,             0.00077823
                     25,                0.73823,                0.49792,                0.87299,                0.80547,                0.82594,                0.86105,                0.63974,                0.87977,                0.65533,                0.91249,             0.00074994,             0.00074994,             0.00074994
                     26,                0.73388,                0.49139,                0.87114,                0.80309,                0.82516,                0.86325,                0.64635,                0.86814,                0.65535,                0.91187,             0.00072164,             0.00072164,             0.00072164
                     27,                0.73102,                0.48938,                0.87371,                0.80479,                0.81151,                0.86204,                 0.6491,                0.84481,                0.66415,                 0.9025,             0.00069335,             0.00069335,             0.00069335
                     28,                0.72056,                0.48319,                0.87314,                0.80068,                0.82639,                0.86622,                0.64259,                0.85852,                0.65586,                0.90627,             0.00066506,             0.00066506,             0.00066506
