                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9152,                 1.8717,                  1.219,                0.66219,                0.76147,                0.74265,                0.45733,                 1.2418,                 1.2486,                 1.0773,             0.00047533,             0.00047533,             0.00047533
                      2,                 1.7691,                 1.4459,                 1.1815,                0.65936,                0.71864,                0.73151,                0.45681,                  1.296,                 1.2264,                 1.1058,             0.00093282,             0.00093282,             0.00093282
                      3,                 1.7507,                 1.3746,                  1.174,                0.68327,                0.67528,                0.73308,                0.46581,                 1.2961,                 1.1974,                 1.1056,              0.0013714,              0.0013714,              0.0013714
                      4,                 1.6859,                 1.3108,                 1.1566,                0.69701,                0.71313,                0.76999,                0.51526,                 1.1677,                 1.1481,                 1.0563,              0.0013441,              0.0013441,              0.0013441
                      5,                  1.643,                 1.2476,                 1.1375,                0.71906,                0.79837,                0.79736,                0.54582,                 1.1108,                 0.9686,                 1.0286,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.6134,                 1.2028,                 1.1212,                0.69947,                0.77231,                0.77875,                0.54184,                 1.0829,                0.96456,                 1.0299,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.5862,                 1.1711,                 1.1074,                0.72066,                0.79626,                0.80189,                0.55186,                 1.0978,                0.93835,                 1.0293,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.5595,                 1.1349,                 1.1072,                0.71194,                0.80187,                0.80254,                0.56447,                 1.0399,                0.92213,                 1.0056,              0.0012309,              0.0012309,              0.0012309
                      9,                  1.532,                 1.1124,                 1.0948,                0.69828,                0.80517,                0.80145,                0.56405,                 1.0323,                0.91053,                0.99873,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.5169,                   1.09,                  1.083,                0.76571,                0.78277,                0.81869,                0.57411,                 1.0402,                0.87013,                 1.0074,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.5131,                 1.0859,                  1.087,                0.70931,                0.73768,                0.78515,                0.55593,                 1.0519,                 1.0395,                0.99238,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.4946,                 1.0797,                 1.0793,                 0.7541,                0.79445,                0.82146,                0.58216,                 1.0127,                0.86048,                0.99242,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.4792,                 1.0612,                 1.0775,                0.76367,                0.80944,                 0.8362,                0.60616,                0.97134,                0.82856,                0.97715,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.4622,                 1.0436,                  1.067,                0.77832,                 0.7844,                0.83644,                0.60781,                0.95951,                0.81014,                0.96718,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.4479,                 1.0285,                 1.0671,                0.76934,                0.80542,                0.84251,                0.61131,                 0.9531,                0.79622,                0.95935,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.4323,                  1.015,                 1.0648,                 0.7826,                0.81745,                0.84397,                0.60946,                0.98288,                0.78983,                0.97095,              0.0010046,              0.0010046,              0.0010046
                     17,                  1.432,                 1.0034,                 1.0622,                0.77962,                0.81064,                0.83867,                0.61441,                0.96302,                0.78698,                0.96597,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.4221,                  1.001,                 1.0579,                0.78608,                0.81129,                0.85198,                0.63019,                0.91742,                0.75236,                0.94709,               0.000948,               0.000948,               0.000948
                     19,                 1.4037,                0.99188,                 1.0559,                0.78444,                 0.8205,                0.85388,                0.62746,                0.93154,                0.76049,                0.95568,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.4053,                0.98795,                 1.0544,                0.77616,                0.82344,                0.84894,                0.62272,                0.93654,                0.76902,                 0.9495,             0.00089141,             0.00089141,             0.00089141
                     21,                  1.389,                0.97373,                 1.0455,                0.78605,                0.81644,                0.84851,                0.62753,                0.91542,                0.76063,                0.94259,             0.00086312,             0.00086312,             0.00086312
                     22,                  1.377,                0.95847,                 1.0466,                0.81193,                0.80765,                0.86191,                0.64078,                 0.9123,                 0.7235,                0.94312,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.3711,                0.95318,                 1.0431,                0.80143,                0.82175,                0.85804,                0.63877,                0.91839,                0.73945,                0.94589,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.3523,                 0.9423,                 1.0373,                0.79695,                0.82159,                0.85639,                0.64652,                0.88357,                 0.7241,                0.93263,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.3658,                0.95057,                 1.0406,                0.80532,                0.81789,                  0.861,                0.64888,                0.88805,                0.73322,                0.93015,             0.00074994,             0.00074994,             0.00074994
                     26,                   1.35,                0.93726,                 1.0363,                0.81426,                0.80408,                0.85726,                0.64169,                0.89698,                0.73006,                 0.9404,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.3438,                 0.9311,                 1.0339,                0.77722,                 0.8417,                0.86651,                0.64824,                0.89842,                0.72112,                0.93196,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.3363,                0.92421,                 1.0338,                0.78873,                0.82422,                0.85848,                0.64498,                0.88977,                 0.7136,                0.93599,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.3278,                0.91279,                 1.0292,                0.80674,                0.82531,                0.86317,                0.65209,                0.87636,                0.72184,                0.92727,             0.00063676,             0.00063676,             0.00063676
                     30,                  1.322,                0.90133,                 1.0223,                0.81399,                0.82661,                0.86929,                0.66144,                0.86561,                0.69104,                0.92194,             0.00060847,             0.00060847,             0.00060847
                     31,                 1.3121,                0.90228,                 1.0226,                0.79086,                0.84134,                0.86553,                0.65886,                0.86228,                0.69655,                0.92534,             0.00058017,             0.00058017,             0.00058017
                     32,                  1.306,                0.89552,                 1.0242,                 0.8176,                 0.8268,                0.87493,                0.66666,                0.87036,                0.68071,                0.92861,             0.00055188,             0.00055188,             0.00055188
                     33,                 1.2987,                0.88954,                 1.0233,                0.81728,                0.83362,                0.87656,                0.66708,                0.86928,                0.67124,                 0.9256,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.2966,                0.88717,                 1.0199,                0.81403,                 0.8361,                  0.876,                0.66821,                0.84824,                0.67437,                 0.9124,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.2951,                0.88161,                 1.0164,                0.82416,                0.83315,                 0.8742,                0.66957,                 0.8545,                 0.6668,                0.91611,               0.000467,               0.000467,               0.000467
                     36,                 1.2747,                0.87194,                 1.0154,                0.80947,                0.84344,                0.87567,                0.66841,                0.85307,                0.67151,                0.91883,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.2766,                0.87059,                 1.0134,                0.82463,                0.82792,                0.87565,                0.66942,                0.85319,                0.66948,                0.91948,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.2627,                0.86231,                 1.0139,                0.82675,                0.82387,                0.87876,                0.67376,                  0.846,                0.66518,                0.91412,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.2646,                0.85485,                  1.008,                0.81918,                0.84699,                0.88317,                   0.68,                0.84364,                0.65317,                0.91165,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.2641,                0.85221,                 1.0071,                0.82515,                0.83971,                 0.8806,                0.67311,                0.84674,                0.65966,                0.91747,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.2928,                0.86103,                 1.0178,                0.83424,                0.83161,                0.88024,                0.67676,                0.84072,                0.65041,                0.91263,             0.00029723,             0.00029723,             0.00029723
                     42,                  1.273,                0.83934,                 1.0071,                0.84109,                0.82965,                0.88786,                0.68387,                0.83778,                0.64315,                0.90763,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.2673,                 0.8384,                 1.0065,                0.83703,                0.83576,                0.88611,                0.68286,                0.83195,                0.64035,                0.90714,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.2484,                0.82528,                0.99996,                0.82772,                0.84642,                0.88786,                0.68626,                0.83036,                0.63869,                0.90733,             0.00021235,             0.00021235,             0.00021235
                     45,                 1.2407,                0.81788,                0.99549,                0.83146,                0.84565,                0.89182,                0.69244,                0.82596,                0.63268,                0.90632,             0.00018406,             0.00018406,             0.00018406
                     46,                 1.2219,                0.80844,                0.99277,                0.81388,                0.86252,                0.88802,                0.68839,                0.82388,                0.63014,                0.90087,             0.00015576,             0.00015576,             0.00015576
                     47,                 1.2236,                0.80314,                0.99334,                0.82396,                0.85549,                0.88804,                0.69012,                0.82089,                0.62893,                0.90047,             0.00012747,             0.00012747,             0.00012747
                     48,                 1.2166,                0.80343,                0.99092,                0.83645,                0.83435,                 0.8888,                0.69062,                0.81683,                0.62646,                0.89982,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 1.2072,                0.79453,                0.98839,                0.83678,                0.84041,                0.89085,                0.69213,                0.81781,                0.62602,                0.90011,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                 1.1939,                0.78844,                0.98672,                0.83141,                0.84705,                0.88974,                0.69267,                0.81807,                0.62393,                0.90051,             4.2584e-05,             4.2584e-05,             4.2584e-05
