                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3973,                 2.3422,                 1.5325,                0.97133,                0.74684,                 0.7436,                 0.7781,                0.53395,                0.71649,                0.70742,                0.72107,                0.33691,                 1.0792,                  1.574,                  1.144,                 1.0214,             0.00047532,             0.00047532,             0.00047532
                      2,                 1.2155,                 2.0304,                 0.9531,                 0.9301,                0.76987,                0.77705,                0.83374,                0.58779,                0.76091,                0.75487,                0.79988,                 0.4289,                 1.0184,                 1.4041,                 1.0215,                 1.0154,             0.00093281,             0.00093281,             0.00093281
                      3,                 1.1683,                 1.9674,                0.86556,                0.92496,                 0.7621,                0.79261,                0.82753,                0.59141,                0.75226,                0.77006,                0.79074,                0.39631,                 1.0245,                 1.3933,                0.91015,                 1.0201,              0.0013714,              0.0013714,              0.0013714
                      4,                 1.1411,                 1.9495,                0.81649,                0.92129,                0.77528,                0.44061,                0.49183,                0.36903,                0.79593,                0.43308,                0.47992,                0.25915,                 1.3194,                 2.0404,                  2.112,                 1.0102,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.1018,                 1.9161,                0.76068,                0.91014,                0.80935,                0.79846,                0.85964,                0.64754,                0.77098,                0.76972,                0.81247,                0.42454,                 0.8913,                 1.3666,                0.79484,                0.96213,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.0816,                 1.8754,                 0.7414,                0.90299,                0.79662,                0.83306,                0.86873,                0.65554,                0.77694,                0.80802,                 0.8271,                0.44177,                0.88056,                 1.3285,                0.79876,                0.95012,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.0553,                 1.8593,                0.71712,                 0.9015,                0.78255,                0.83733,                0.86349,                0.66592,                0.76881,                0.78957,                0.80978,                 0.4229,                0.83347,                 1.3522,                0.76365,                0.93818,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.0422,                 1.8469,                0.69634,                0.89916,                0.77924,                 0.8143,                0.84973,                0.64317,                0.76828,                0.78713,                0.80656,                0.43332,                 0.8985,                 1.3666,                0.81406,                0.94099,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.0299,                 1.8245,                0.68961,                0.89939,                 0.7814,                0.73571,                0.84888,                0.64087,                0.74515,                0.71251,                0.79772,                0.42184,                0.92649,                 1.4395,                0.92742,                  0.936,              0.0012026,              0.0012026,              0.0012026
                     10,                  1.013,                 1.8024,                0.67357,                0.89248,                0.80996,                0.82655,                0.88051,                0.67563,                0.78452,                0.80786,                0.83268,                0.44895,                0.80663,                 1.2631,                0.74388,                0.92612,              0.0011744,              0.0011744,              0.0011744
