                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6766,                 2.6869,                 1.7239,                 1.0487,                0.69949,                0.69155,                0.76742,                0.53796,                0.66198,                0.62522,                0.68289,                0.34405,                  1.075,                 1.6628,                 1.2275,                0.96471,             0.00047533,             0.00047533,             0.00047533
                      2,                 1.5592,                  2.443,                 1.2558,                 1.0144,                0.77051,                0.78997,                0.84695,                0.60497,                0.75977,                 0.7612,                0.79962,                0.40817,                0.97216,                 1.4846,                 1.0024,                0.93479,             0.00093282,             0.00093282,             0.00093282
                      3,                 1.5026,                  2.314,                 1.1674,                 1.0068,                0.75177,                0.82735,                 0.8525,                0.60953,                 0.7328,                0.78477,                0.79294,                 0.4089,                0.96531,                 1.4381,                0.89855,                0.93579,              0.0013714,              0.0013714,              0.0013714
                      4,                  1.487,                 2.2988,                  1.129,                0.99569,                0.77986,                 0.8132,                0.86256,                0.63624,                0.75573,                0.76069,                 0.7939,                 0.3973,                0.97135,                 1.4428,                0.81072,                0.93316,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.4159,                 2.1908,                 1.0586,                0.98311,                0.68902,                0.66961,                0.80745,                0.60186,                0.66332,                0.63235,                0.75201,                0.38057,                0.90978,                  1.586,                 1.2311,                0.91288,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.4086,                 2.1835,                 1.0255,                0.97418,                0.77886,                0.79961,                0.86126,                0.65972,                0.77553,                 0.7687,                0.82889,                0.45669,                0.85531,                 1.3279,                 0.8131,                 0.9069,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.3715,                  2.138,                 0.9992,                0.96753,                0.81274,                0.84909,                0.88578,                0.67917,                0.79011,                0.80183,                0.83221,                0.43007,                0.86748,                 1.3602,                 0.7155,                0.89239,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.3443,                 2.1079,                0.97279,                0.96122,                0.82183,                0.84566,                0.90029,                0.69981,                0.80967,                0.81806,                0.85637,                0.46046,                0.83215,                 1.3043,                0.70199,                0.88461,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.3358,                 2.0827,                0.97185,                0.96121,                0.81164,                0.83791,                0.89463,                0.70308,                0.80123,                0.78602,                0.83911,                0.44681,                0.79974,                 1.3045,                0.69799,                0.88653,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.3243,                 2.0647,                0.94458,                0.95199,                0.84017,                0.86668,                0.91007,                0.72037,                0.81123,                0.82449,                0.85071,                0.43954,                0.80172,                 1.3197,                0.64759,                0.87807,              0.0011744,              0.0011744,              0.0011744
