                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1328,                 1.6943,                 1.7708,                0.91976,                0.71891,                0.76343,                0.77611,                0.55595,                0.70463,                0.74032,                0.75027,                 0.3884,                0.95789,                 1.4176,                 1.2084,                0.96779,             0.00047332,             0.00047332,             0.00047332
                      2,                 0.9987,                 1.4242,                 1.0265,                0.89544,                0.75831,                0.80764,                0.82239,                0.59527,                0.72674,                0.74194,                0.75506,                0.36209,                 0.9521,                 1.4136,                 1.0407,                0.96316,             0.00093085,             0.00093085,             0.00093085
                      3,                0.97321,                 1.3493,                0.91164,                0.88796,                0.70302,                0.78396,                0.80644,                0.58689,                0.70074,                0.70878,                0.73623,                0.36201,                0.94911,                 1.4033,                  1.074,                0.96677,              0.0013695,              0.0013695,              0.0013695
                      4,                0.95653,                 1.3273,                0.85451,                0.88641,                0.80648,                0.83017,                0.87182,                0.65583,                0.79843,                0.80572,                0.83945,                0.45487,                0.90249,                 1.2912,                0.82971,                0.95108,              0.0013441,              0.0013441,              0.0013441
                      5,                0.91573,                 1.3013,                0.79006,                0.87508,                0.70216,                0.72197,                0.79951,                 0.6025,                0.69694,                 0.6607,                0.74647,                0.38386,                0.91491,                 1.4231,                 1.1175,                0.95399,              0.0013158,              0.0013158,              0.0013158
                      6,                0.92256,                 1.2864,                0.76927,                0.87562,                0.75796,                0.81139,                0.84452,                0.64104,                 0.7552,                0.77104,                0.79442,                0.41617,                0.87882,                 1.2724,                0.81888,                0.95687,              0.0012875,              0.0012875,              0.0012875
                      7,                0.89094,                 1.2744,                0.75587,                0.87384,                0.81829,                0.84449,                0.89228,                0.69265,                0.80058,                0.80424,                0.84456,                 0.4537,                 0.8095,                 1.2458,                0.74398,                0.91287,              0.0012592,              0.0012592,              0.0012592
                      8,                0.88987,                  1.264,                 0.7303,                0.87459,                0.58649,                0.66243,                0.74719,                0.54888,                0.60665,                0.60987,                0.72485,                 0.4104,                0.97606,                 1.5696,                 1.4744,                0.92913,              0.0012309,              0.0012309,              0.0012309
                      9,                0.87578,                 1.2488,                0.70758,                0.87211,                0.82171,                0.86644,                 0.8862,                0.69218,                 0.7954,                0.83171,                0.83195,                0.42528,                0.81018,                 1.2495,                0.71087,                0.89842,              0.0012026,              0.0012026,              0.0012026
                     10,                0.86239,                 1.2425,                0.69793,                0.87212,                0.62874,                0.66084,                0.73974,                0.55125,                 0.6258,                0.63125,                0.71794,                0.39609,                 1.0129,                 1.7269,                 1.5905,                0.91851,              0.0011744,              0.0011744,              0.0011744
                     11,                0.85264,                 1.2429,                0.67572,                0.86409,                0.65286,                0.57384,                0.69149,                0.50452,                0.64397,                 0.5535,                0.65733,                  0.353,                 1.0558,                 1.9076,                 1.9083,                0.95151,              0.0011461,              0.0011461,              0.0011461
                     12,                0.84548,                 1.2198,                 0.6678,                0.86394,                0.81623,                0.85004,                 0.8937,                0.69894,                0.79539,                0.81737,                0.84492,                0.45208,                0.78895,                 1.2162,                0.72165,                 0.8949,              0.0011178,              0.0011178,              0.0011178
                     13,                0.82257,                 1.1916,                0.63644,                0.86041,                0.81114,                0.83937,                 0.8904,                0.69576,                0.79135,                0.79807,                0.83594,                 0.4556,                0.79675,                 1.2422,                0.75925,                0.90149,              0.0010895,              0.0010895,              0.0010895
                     14,                0.82109,                 1.1781,                0.63998,                0.85676,                0.81323,                 0.8833,                0.90039,                0.71763,                0.80862,                0.84286,                0.86047,                0.46279,                0.76834,                 1.2121,                0.67047,                0.89949,              0.0010612,              0.0010612,              0.0010612
                     15,                0.82725,                 1.1975,                0.63157,                0.85819,                0.83475,                 0.8714,                0.91246,                0.72729,                0.82903,                 0.8391,                0.87624,                0.48657,                0.74127,                 1.2015,                0.66224,                0.88751,              0.0010329,              0.0010329,              0.0010329
                     16,                0.80666,                 1.1875,                0.61422,                0.85584,                0.85331,                0.87756,                0.92039,                0.74572,                0.83409,                0.83184,                0.87246,                0.47863,                0.72478,                  1.177,                 0.6152,                0.88046,              0.0010046,              0.0010046,              0.0010046
                     17,                0.80356,                 1.1873,                0.62636,                0.85839,                0.81394,                0.83878,                0.88667,                0.69848,                0.80307,                0.80251,                0.83811,                0.44139,                 0.8127,                  1.275,                0.73522,                0.90008,             0.00097629,             0.00097629,             0.00097629
                     18,                0.80125,                 1.1805,                0.62749,                0.85152,                0.84556,                0.85673,                0.91606,                0.72825,                0.81344,                0.82073,                0.85101,                0.44646,                0.75928,                 1.2206,                0.67615,                0.88439,               0.000948,               0.000948,               0.000948
                     19,                0.78661,                 1.1566,                0.59903,                0.85238,                 0.8515,                0.87007,                0.91819,                0.73188,                0.82246,                0.83655,                0.86804,                0.46001,                0.75968,                 1.2548,                0.61487,                0.88262,              0.0009197,              0.0009197,              0.0009197
                     20,                0.78385,                 1.1708,                 0.5995,                0.85032,                0.85287,                0.85941,                0.91623,                0.74378,                0.82535,                0.82378,                0.86279,                0.47229,                0.72106,                 1.1624,                0.61008,                0.87121,             0.00089141,             0.00089141,             0.00089141
